hostname,mass,age_yr,feh,av,chi2_phot,chi2_prior,chi2,distance_pc,model_G,model_BP,model_RP,model_H,model_g,model_r,model_i,model_z
WASP-186,1.2200000173594625,3100039989.201484,0.30124829393422997,3.0,9.304205465249511,2.3256041876433176,11.62980965289283,281.432922363281,6.108469436245611,7.14331229327899,5.083811645970421,0.8409857123543483,13.069427527044105,2.6075461645047113,1.9877774015103429,1.4322685409208986
TOI-277,0.16,4999999999.999999,0.5,3.0,87.13859825909748,4.1616,91.30019825909747,64.8592529296875,16.159696238231206,19.5757897518941,14.104369295515028,1.0397374184201182,13.277845034966587,2.6075461645047113,2.000914094274466,1.4454052336850218
TOI-1467,0.489,7200000000.000009,0.5,3.0,95.35953674461834,5.053504000000001,100.41304074461834,37.4740333557129,12.160805174724919,14.364611143662353,10.402465272793572,1.0397374184201182,13.433499521169173,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-151,0.47,27568886.169361766,0.5,3.0,896.1643485007442,7.617599999999999,903.7819485007442,69.1330718994141,11.72545450724993,14.102949580397674,9.907316467918221,1.0397374184201182,11.01666676442236,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-387,0.5699995024670002,2727707.731946286,0.5,3.0,477.08587102521165,2.238016000003961,479.3238870252156,267.439910888672,9.362437021152893,11.477363222544364,7.639494585491931,1.0397374184201182,10.0121800979816,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-113,1.04,1000000.0,0.5,3.0,167.38525104943486,3.856625,171.24187604943486,618.671569824219,6.442582623015845,7.843519228545484,5.091566197682386,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
TOI-4527,0.48391064422170776,19944315.94930052,0.5,3.0,869.3029407142964,1.4881761975682625e-09,869.3029407157845,18.0852298736572,11.46780776091057,13.831591752613985,9.654106033161867,1.0397374184201182,10.878794361304486,2.6075461645047113,2.000914094274466,1.4454052336850218
WASP-118,1.3200000967405126,1170000000.0000014,0.40775255753210826,3.0,3.928405421069329,0.9821012762193596,4.910506697288689,381.680480957031,5.954795075016756,6.960892492391064,4.964146067035072,0.9474899759522266,12.644652767294108,2.6075461645047113,1.9948169073171083,1.439308046727664
K2-295,0.74,1000000.0,0.2880639921881029,3.0,239.05082112354592,0.35076713252285757,239.40158825606878,232.68327331543,7.206585589602987,8.721848572031991,5.780081838302216,0.8278014106082212,9.578996793698458,2.6075461645047113,1.986905971902131,1.4313971113126867
TOI-2236,1.3430000410426437,2520000757.9184513,0.4486022927195723,3.0,6.952811751702633,1.73820274185673,8.691014493559363,346.617279052734,5.717636408513927,6.747999540420663,4.698826545419396,0.9883397111396905,12.980244400685043,2.6075461645047113,1.997516911414059,1.4420080508246147
TOI-4010,0.88,6100000000.000002,0.5,3.0,35.55563152504716,0.27040000000000003,35.82603152504716,176.103134155273,8.110268872384205,9.353456488262019,6.881232855147388,1.0397374184201182,13.362847200897429,2.6075461645047113,2.000914094274466,1.4454052336850218
GJ 3090,0.519,4999999999.999999,0.5,3.0,89.90958635454626,5.017600000000001,94.92718635454627,22.4411888122559,11.888489235272484,14.03537735838944,10.150147186622204,1.0397374184201182,13.277845034966587,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-384,0.33,844765936.8656374,0.5,3.0,896.8362938447069,2.9859839999999997,899.822277844707,81.5296096801758,13.712281112722845,16.27624579448375,11.84435761881636,1.0397374184201182,12.503520190030349,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-208,0.881,1000000.0,0.5,3.0,338.55567373111387,7.30237365615705,345.8580473872709,259.258819580078,6.801849289682512,8.261447799974055,5.41172572149191,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
TOI-2411,0.65,1000000.0,0.5,3.0,456.28904785102213,0.0,456.28904785102213,59.4408378601074,7.7672432305326,9.507442675475865,6.213558144337265,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
HAT-P-51,0.961,8100000802.25691,0.5,3.0,23.15086092867096,0.6272640000000883,23.778124928671048,436.414428710938,7.346496047188414,8.51520584146973,6.184137175929203,1.0397374184201182,13.486617558722063,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-211,0.851,1000000.0,0.5,3.0,389.5930239200262,4.42761190048675,394.02063582051295,277.318756103516,6.882124741956375,8.355969616208794,5.483232993570157,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
TOI-4515,0.949,1000000.0,0.5,3.0,257.80768185998335,39.180025,296.98770685998335,192.183151245117,6.6391138019373725,8.070557860965538,5.267062283600966,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
HAT-P-53,1.093,1000000.0,0.5,3.0,102.18610480669255,35.644013644941204,137.83011845163375,671.926086425781,6.341329545902479,7.727441869785441,5.000226243937144,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
TOI-1695,0.513,4999999999.999999,0.5,3.0,87.57188749431646,4.0,91.57188749431646,44.983577728271506,11.94620370683057,14.104131829947526,10.203780276069812,1.0397374184201182,13.277845034966587,2.6075461645047113,2.000914094274466,1.4454052336850218
TOI-6330,0.531,7600000000.0,0.5,3.0,97.28089022451537,2.8223999999999996,100.10329022451538,142.738708496094,11.749427409057262,13.871944559599408,10.02073065168198,1.0397374184201182,13.457983394500463,2.6075461645047113,2.000914094274466,1.4454052336850218
TIC 237913194,1.026,5699999995.19261,0.5,3.0,17.770183801917458,2.0736,19.843783801917457,305.285064697266,7.077302594745804,8.215602602753426,5.944406978703901,1.0397374184201182,13.332023461734506,2.6075461645047113,2.000914094274466,1.4454052336850218
TOI-2120,0.211,4999999999.999999,0.5,3.0,189.20744676250007,0.19359999999999997,189.40104676250007,32.1310958862305,15.157147311254642,18.178481884220496,13.180078352051972,1.0397374184201182,13.277845034966587,2.6075461645047113,2.000914094274466,1.4454052336850218
NGTS-11,0.862,3900000000.000003,0.5,3.0,35.69878695406628,1.2544000000000002,36.953186954066275,188.264266967773,8.36352766338516,9.63759416290121,7.108110275106776,1.0397374184201182,13.169095438651517,2.6075461645047113,2.000914094274466,1.4454052336850218
TOI-125,0.859,6800000000.000005,0.5,3.0,32.77130085905889,4.3264000000000005,37.09770085905889,110.151466369629,8.242189682036965,9.50426632535105,6.996723097923407,1.0397374184201182,13.409015647837885,2.6075461645047113,2.000914094274466,1.4454052336850218
WASP-105,0.8900001038664461,4999999999.999999,0.5,3.0,21.571147784765774,0.7744000000001725,22.345547784765948,216.673110961914,8.09514069146962,9.334037300504248,6.869739293262837,1.0397374184201182,13.277845034966587,2.6075461645047113,2.000914094274466,1.4454052336850218
